"Date and Time Run 1","Time (s) Run 1","X Magnetic Field Strength (G) Run 1","Y Magnetic Field Strength (G) Run 1","Z Magnetic Field Strength (G) Run 1","|Resultant| Magnetic Field Strength (G) Run 1","Date and Time Run 2","Time (s) Run 2","X Magnetic Field Strength (G) Run 2","Y Magnetic Field Strength (G) Run 2","Z Magnetic Field Strength (G) Run 2","|Resultant| Magnetic Field Strength (G) Run 2","Date and Time Run 3","Time (s) Run 3","X Magnetic Field Strength (G) Run 3","Y Magnetic Field Strength (G) Run 3","Z Magnetic Field Strength (G) Run 3","|Resultant| Magnetic Field Strength (G) Run 3","Date and Time Run 4","Time (s) Run 4","X Magnetic Field Strength (G) Run 4","Y Magnetic Field Strength (G) Run 4","Z Magnetic Field Strength (G) Run 4","|Resultant| Magnetic Field Strength (G) Run 4","Date and Time Run 5","Time (s) Run 5","X Magnetic Field Strength (G) Run 5","Y Magnetic Field Strength (G) Run 5","Z Magnetic Field Strength (G) Run 5","|Resultant| Magnetic Field Strength (G) Run 5","Date and Time Run 6","Time (s) Run 6","X Magnetic Field Strength (G) Run 6","Y Magnetic Field Strength (G) Run 6","Z Magnetic Field Strength (G) Run 6","|Resultant| Magnetic Field Strength (G) Run 6","Date and Time Run 7","Time (s) Run 7","X Magnetic Field Strength (G) Run 7","Y Magnetic Field Strength (G) Run 7","Z Magnetic Field Strength (G) Run 7","|Resultant| Magnetic Field Strength (G) Run 7","Date and Time Run 8","Time (s) Run 8","X Magnetic Field Strength (G) Run 8","Y Magnetic Field Strength (G) Run 8","Z Magnetic Field Strength (G) Run 8","|Resultant| Magnetic Field Strength (G) Run 8","Date and Time Run 9","Time (s) Run 9","X Magnetic Field Strength (G) Run 9","Y Magnetic Field Strength (G) Run 9","Z Magnetic Field Strength (G) Run 9","|Resultant| Magnetic Field Strength (G) Run 9","Date and Time Run 10","Time (s) Run 10","X Magnetic Field Strength (G) Run 10","Y Magnetic Field Strength (G) Run 10","Z Magnetic Field Strength (G) Run 10","|Resultant| Magnetic Field Strength (G) Run 10","Date and Time Run 11","Time (s) Run 11","X Magnetic Field Strength (G) Run 11","Y Magnetic Field Strength (G) Run 11","Z Magnetic Field Strength (G) Run 11","|Resultant| Magnetic Field Strength (G) Run 11","Date and Time Run 12","Time (s) Run 12","X Magnetic Field Strength (G) Run 12","Y Magnetic Field Strength (G) Run 12","Z Magnetic Field Strength (G) Run 12","|Resultant| Magnetic Field Strength (G) Run 12","Date and Time Run 13","Time (s) Run 13","X Magnetic Field Strength (G) Run 13","Y Magnetic Field Strength (G) Run 13","Z Magnetic Field Strength (G) Run 13","|Resultant| Magnetic Field Strength (G) Run 13","Date and Time Run 14","Time (s) Run 14","X Magnetic Field Strength (G) Run 14","Y Magnetic Field Strength (G) Run 14","Z Magnetic Field Strength (G) Run 14","|Resultant| Magnetic Field Strength (G) Run 14","Date and Time Run 15","Time (s) Run 15","X Magnetic Field Strength (G) Run 15","Y Magnetic Field Strength (G) Run 15","Z Magnetic Field Strength (G) Run 15","|Resultant| Magnetic Field Strength (G) Run 15"
02/28/2025 02:49:31 pm,0.000,-0.0795,0.390,-0.0330,0.399,02/28/2025 02:51:08 pm,0.000,0.0870,0.455,0.128,0.480,02/28/2025 02:57:03 pm,0.000,-0.497,-0.143,0.0255,0.517,02/28/2025 03:09:43 pm,0.000,-0.212,-0.324,-0.0750,0.394,02/28/2025 03:11:30 pm,0.000,-0.428,0.311,0.180,0.558,02/28/2025 03:13:30 pm,0.000,-0.536,0.107,0.212,0.586,02/28/2025 03:27:48 pm,0.000,0.113,0.447,-0.0375,0.462,02/28/2025 03:29:02 pm,0.000,-0.696,-0.0690,0.0570,0.702,02/28/2025 03:41:28 pm,0.000,-0.671,0.00300,0.261,0.720,02/28/2025 05:07:03 pm,0.000,-0.204,-0.764,0.566,0.972,02/28/2025 05:08:15 pm,0.000,-0.0585,0.606,-0.122,0.621,03/10/2025 01:52:15 pm,0.000,-0.224,0.237,0.0705,0.333,03/10/2025 01:55:13 pm,0.000,0.231,-0.572,0.366,0.717,03/10/2025 01:57:36 pm,0.000,-0.246,0.468,-0.206,0.567,03/10/2025 02:25:21 pm,0.000,0.0285,-0.380,-0.413,0.561
02/28/2025 02:49:31 pm,0.100,-0.0750,0.384,-0.0315,0.393,02/28/2025 02:51:08 pm,0.100,0.0390,0.470,0.195,0.510,02/28/2025 02:57:03 pm,0.100,-0.551,-0.0195,0.0870,0.558,02/28/2025 03:09:43 pm,0.100,-0.225,-0.318,-0.0795,0.398,02/28/2025 03:11:30 pm,0.100,-0.488,0.216,0.159,0.556,02/28/2025 03:13:30 pm,0.100,-0.536,0.0690,0.191,0.573,02/28/2025 03:27:48 pm,0.100,0.102,0.446,-0.0330,0.458,02/28/2025 03:29:02 pm,0.100,-0.701,-0.0810,0.0585,0.708,02/28/2025 03:41:28 pm,0.100,-0.674,0.00450,0.255,0.720,02/28/2025 05:07:03 pm,0.100,-0.233,-0.777,0.555,0.983,02/28/2025 05:08:15 pm,0.100,-0.0555,0.603,-0.132,0.620,03/10/2025 01:52:15 pm,0.100,-0.224,0.237,0.0750,0.334,03/10/2025 01:55:13 pm,0.100,0.231,-0.576,0.369,0.722,03/10/2025 01:57:36 pm,0.100,-0.252,0.468,-0.203,0.569,03/10/2025 02:25:21 pm,0.100,0.0525,-0.342,-0.422,0.545
02/28/2025 02:49:31 pm,0.200,-0.0795,0.387,-0.0345,0.397,02/28/2025 02:51:08 pm,0.200,0.0600,0.461,0.203,0.507,02/28/2025 02:57:03 pm,0.200,-0.557,0.0105,0.116,0.568,02/28/2025 03:09:43 pm,0.200,-0.218,-0.327,-0.0660,0.398,02/28/2025 03:11:30 pm,0.200,-0.512,0.140,0.125,0.545,02/28/2025 03:13:30 pm,0.200,-0.537,0.101,0.207,0.584,02/28/2025 03:27:48 pm,0.200,0.0960,0.447,-0.0420,0.459,02/28/2025 03:29:02 pm,0.200,-0.695,-0.0795,0.0510,0.701,02/28/2025 03:41:28 pm,0.200,-0.666,-0.00150,0.260,0.715,02/28/2025 05:07:03 pm,0.200,-0.251,-0.780,0.552,0.988,02/28/2025 05:08:15 pm,0.200,-0.0600,0.596,-0.123,0.611,03/10/2025 01:52:15 pm,0.200,-0.221,0.233,0.0720,0.328,03/10/2025 01:55:13 pm,0.200,0.231,-0.576,0.372,0.724,03/10/2025 01:57:36 pm,0.200,-0.258,0.473,-0.206,0.576,03/10/2025 02:25:21 pm,0.200,0.0495,-0.354,-0.407,0.541
02/28/2025 02:49:31 pm,0.300,-0.0750,0.386,-0.0285,0.394,02/28/2025 02:51:08 pm,0.300,0.0765,0.449,0.212,0.502,02/28/2025 02:57:03 pm,0.300,-0.566,0.0990,0.144,0.592,02/28/2025 03:09:43 pm,0.300,-0.216,-0.329,-0.0660,0.399,02/28/2025 03:11:30 pm,0.300,-0.512,0.123,0.119,0.539,02/28/2025 03:13:30 pm,0.300,-0.531,0.108,0.207,0.580,02/28/2025 03:27:48 pm,0.300,0.104,0.429,-0.0450,0.444,02/28/2025 03:29:02 pm,0.300,-0.684,-0.0825,0.0510,0.691,02/28/2025 03:41:28 pm,0.300,-0.672,0.00300,0.257,0.719,02/28/2025 05:07:03 pm,0.300,-0.249,-0.777,0.545,0.981,02/28/2025 05:08:15 pm,0.300,-0.0735,0.584,-0.114,0.599,03/10/2025 01:52:15 pm,0.300,-0.222,0.237,0.0690,0.332,03/10/2025 01:55:13 pm,0.300,0.233,-0.576,0.365,0.720,03/10/2025 01:57:36 pm,0.300,-0.260,0.471,-0.200,0.574,03/10/2025 02:25:21 pm,0.300,0.0255,-0.378,-0.392,0.545
02/28/2025 02:49:31 pm,0.400,-0.0825,0.384,-0.0300,0.394,02/28/2025 02:51:08 pm,0.400,0.0795,0.444,0.225,0.504,02/28/2025 02:57:03 pm,0.400,-0.567,0.0930,0.140,0.591,02/28/2025 03:09:43 pm,0.400,-0.239,-0.323,-0.0735,0.408,02/28/2025 03:11:30 pm,0.400,-0.503,0.162,0.150,0.549,02/28/2025 03:13:30 pm,0.400,-0.537,0.111,0.200,0.584,02/28/2025 03:27:48 pm,0.400,0.113,0.399,-0.0540,0.418,02/28/2025 03:29:02 pm,0.400,-0.680,-0.0825,0.0495,0.686,02/28/2025 03:41:28 pm,0.400,-0.672,0.00600,0.260,0.720,02/28/2025 05:07:03 pm,0.400,-0.227,-0.768,0.551,0.972,02/28/2025 05:08:15 pm,0.400,-0.0900,0.582,-0.0975,0.597,03/10/2025 01:52:15 pm,0.400,-0.224,0.234,0.0675,0.331,03/10/2025 01:55:13 pm,0.400,0.230,-0.576,0.368,0.721,03/10/2025 01:57:36 pm,0.400,-0.261,0.474,-0.203,0.578,03/10/2025 02:25:21 pm,0.400,-0.00150,-0.362,-0.416,0.551
02/28/2025 02:49:31 pm,0.500,-0.0735,0.386,-0.0315,0.394,02/28/2025 02:51:08 pm,0.500,0.0645,0.446,0.231,0.506,02/28/2025 02:57:03 pm,0.500,-0.573,0.116,0.126,0.598,02/28/2025 03:09:43 pm,0.500,-0.245,-0.329,-0.0480,0.412,02/28/2025 03:11:30 pm,0.500,-0.494,0.170,0.186,0.554,02/28/2025 03:13:30 pm,0.500,-0.539,0.110,0.201,0.585,02/28/2025 03:27:48 pm,0.500,0.122,0.374,-0.0630,0.398,02/28/2025 03:29:02 pm,0.500,-0.680,-0.0885,0.0480,0.687,02/28/2025 03:41:28 pm,0.500,-0.672,0.00600,0.255,0.719,02/28/2025 05:07:03 pm,0.500,-0.225,-0.770,0.555,0.975,02/28/2025 05:08:15 pm,0.500,-0.101,0.573,-0.0915,0.589,03/10/2025 01:52:15 pm,0.500,-0.221,0.237,0.0690,0.331,03/10/2025 01:55:13 pm,0.500,0.237,-0.573,0.368,0.721,03/10/2025 01:57:36 pm,0.500,-0.257,0.480,-0.203,0.581,03/10/2025 02:25:21 pm,0.500,-0.0510,-0.366,-0.429,0.566
02/28/2025 02:49:31 pm,0.600,-0.0795,0.383,-0.0360,0.392,02/28/2025 02:51:08 pm,0.600,0.0765,0.449,0.218,0.504,02/28/2025 02:57:03 pm,0.600,-0.581,0.114,0.126,0.605,02/28/2025 03:09:43 pm,0.600,-0.249,-0.333,-0.0450,0.418,02/28/2025 03:11:30 pm,0.600,-0.500,0.138,0.195,0.554,02/28/2025 03:13:30 pm,0.600,-0.539,0.110,0.197,0.584,02/28/2025 03:27:48 pm,0.600,0.125,0.365,-0.0660,0.391,02/28/2025 03:29:02 pm,0.600,-0.674,-0.0930,0.0510,0.682,02/28/2025 03:41:28 pm,0.600,-0.674,0.0105,0.263,0.723,02/28/2025 05:07:03 pm,0.600,-0.255,-0.789,0.561,1.00,02/28/2025 05:08:15 pm,0.600,-0.102,0.575,-0.0915,0.591,03/10/2025 01:52:15 pm,0.600,-0.222,0.237,0.0675,0.332,03/10/2025 01:55:13 pm,0.600,0.234,-0.573,0.366,0.719,03/10/2025 01:57:36 pm,0.600,-0.261,0.477,-0.206,0.581,03/10/2025 02:25:21 pm,0.600,-0.107,-0.360,-0.435,0.575
02/28/2025 02:49:31 pm,0.700,-0.0765,0.384,-0.0360,0.393,02/28/2025 02:51:08 pm,0.700,0.0330,0.464,0.218,0.513,02/28/2025 02:57:03 pm,0.700,-0.590,0.0990,0.129,0.612,02/28/2025 03:09:43 pm,0.700,-0.279,-0.320,-0.0375,0.426,02/28/2025 03:11:30 pm,0.700,-0.507,0.111,0.179,0.549,02/28/2025 03:13:30 pm,0.700,-0.537,0.113,0.189,0.580,02/28/2025 03:27:48 pm,0.700,0.128,0.356,-0.0675,0.384,02/28/2025 03:29:02 pm,0.700,-0.665,-0.0975,0.0525,0.674,02/28/2025 03:41:28 pm,0.700,-0.669,0.00,0.261,0.718,02/28/2025 05:07:03 pm,0.700,-0.290,-0.803,0.558,1.02,02/28/2025 05:08:15 pm,0.700,-0.110,0.561,-0.0975,0.580,03/10/2025 01:52:15 pm,0.700,-0.219,0.237,0.0705,0.330,03/10/2025 01:55:13 pm,0.700,0.237,-0.578,0.371,0.726,03/10/2025 01:57:36 pm,0.700,-0.261,0.473,-0.198,0.575,03/10/2025 02:25:21 pm,0.700,-0.231,-0.323,-0.444,0.595
02/28/2025 02:49:31 pm,0.800,-0.0765,0.381,-0.0330,0.390,02/28/2025 02:51:08 pm,0.800,-0.0300,0.483,0.219,0.531,02/28/2025 02:57:03 pm,0.800,-0.588,0.0945,0.138,0.611,02/28/2025 03:09:43 pm,0.800,-0.252,-0.347,0.00,0.428,02/28/2025 03:11:30 pm,0.800,-0.507,0.111,0.168,0.546,02/28/2025 03:13:30 pm,0.800,-0.537,0.122,0.186,0.581,02/28/2025 03:27:48 pm,0.800,0.134,0.356,-0.0615,0.385,02/28/2025 03:29:02 pm,0.800,-0.659,-0.107,0.0495,0.669,02/28/2025 03:41:28 pm,0.800,-0.678,-0.00900,0.263,0.727,02/28/2025 05:07:03 pm,0.800,-0.323,-0.813,0.548,1.03,02/28/2025 05:08:15 pm,0.800,-0.140,0.534,-0.0825,0.558,03/10/2025 01:52:15 pm,0.800,-0.221,0.237,0.0720,0.332,03/10/2025 01:55:13 pm,0.800,0.237,-0.576,0.368,0.723,03/10/2025 01:57:36 pm,0.800,-0.251,0.480,-0.195,0.575,03/10/2025 02:25:21 pm,0.800,-0.366,-0.222,-0.458,0.627
02/28/2025 02:49:31 pm,0.900,-0.0780,0.386,-0.0315,0.395,02/28/2025 02:51:08 pm,0.900,-0.198,0.492,0.218,0.573,02/28/2025 02:57:03 pm,0.900,-0.587,0.0960,0.135,0.609,02/28/2025 03:09:43 pm,0.900,-0.266,-0.339,0.00150,0.431,02/28/2025 03:11:30 pm,0.900,-0.506,0.122,0.162,0.545,02/28/2025 03:13:30 pm,0.900,-0.536,0.125,0.186,0.580,02/28/2025 03:27:48 pm,0.900,0.135,0.353,-0.0585,0.382,02/28/2025 03:29:02 pm,0.900,-0.651,-0.102,0.0510,0.661,02/28/2025 03:41:28 pm,0.900,-0.677,-0.0255,0.257,0.724,02/28/2025 05:07:03 pm,0.900,-0.360,-0.813,0.542,1.04,02/28/2025 05:08:15 pm,0.900,-0.174,0.483,-0.0720,0.518,03/10/2025 01:52:15 pm,0.900,-0.224,0.239,0.0690,0.334,03/10/2025 01:55:13 pm,0.900,0.233,-0.579,0.366,0.723,03/10/2025 01:57:36 pm,0.900,-0.249,0.483,-0.197,0.578,03/10/2025 02:25:21 pm,0.900,-0.423,-0.110,-0.465,0.638
