"Date and Time Run 1","Time (s) Run 1","X Magnetic Field Strength (G) Run 1","Y Magnetic Field Strength (G) Run 1","Z Magnetic Field Strength (G) Run 1","|Resultant| Magnetic Field Strength (G) Run 1","Date and Time Run 2","Time (s) Run 2","X Magnetic Field Strength (G) Run 2","Y Magnetic Field Strength (G) Run 2","Z Magnetic Field Strength (G) Run 2","|Resultant| Magnetic Field Strength (G) Run 2","Date and Time Run 3","Time (s) Run 3","X Magnetic Field Strength (G) Run 3","Y Magnetic Field Strength (G) Run 3","Z Magnetic Field Strength (G) Run 3","|Resultant| Magnetic Field Strength (G) Run 3"
03/10/2025 03:55:29 pm,0.000,-0.0885,-0.308,-0.0585,0.325,03/10/2025 04:33:32 pm,0.000,-0.0825,-0.315,-0.0495,0.329,03/10/2025 04:39:12 pm,0.000,-0.116,-0.350,0.0375,0.370
03/10/2025 03:55:29 pm,0.100,-0.0855,-0.308,-0.0570,0.324,03/10/2025 04:33:32 pm,0.100,-0.0810,-0.315,-0.0480,0.329,03/10/2025 04:39:12 pm,0.100,-0.117,-0.350,0.0345,0.370
03/10/2025 03:55:29 pm,0.200,-0.0915,-0.305,-0.0540,0.323,03/10/2025 04:33:32 pm,0.200,-0.0795,-0.308,-0.0435,0.321,03/10/2025 04:39:12 pm,0.200,-0.113,-0.353,0.0330,0.371
03/10/2025 03:55:29 pm,0.300,-0.0870,-0.305,-0.0600,0.322,03/10/2025 04:33:32 pm,0.300,-0.0810,-0.311,-0.0390,0.323,03/10/2025 04:39:12 pm,0.300,-0.117,-0.356,0.0330,0.376
03/10/2025 03:55:29 pm,0.400,-0.0900,-0.309,-0.0540,0.326,03/10/2025 04:33:32 pm,0.400,-0.0780,-0.312,-0.0465,0.325,03/10/2025 04:39:12 pm,0.400,-0.111,-0.350,0.0330,0.368
03/10/2025 03:55:29 pm,0.500,-0.0915,-0.306,-0.0555,0.324,03/10/2025 04:33:32 pm,0.500,-0.0810,-0.311,-0.0465,0.324,03/10/2025 04:39:12 pm,0.500,-0.114,-0.350,0.0315,0.369
03/10/2025 03:55:29 pm,0.600,-0.0900,-0.306,-0.0570,0.324,03/10/2025 04:33:32 pm,0.600,-0.0765,-0.311,-0.0435,0.323,03/10/2025 04:39:12 pm,0.600,-0.113,-0.351,0.0285,0.370
03/10/2025 03:55:29 pm,0.700,-0.0870,-0.306,-0.0585,0.323,03/10/2025 04:33:32 pm,0.700,-0.0780,-0.312,-0.0450,0.325,03/10/2025 04:39:12 pm,0.700,-0.114,-0.354,0.0330,0.373
03/10/2025 03:55:29 pm,0.800,-0.0855,-0.303,-0.0570,0.320,03/10/2025 04:33:32 pm,0.800,-0.0855,-0.314,-0.0450,0.328,03/10/2025 04:39:12 pm,0.800,-0.113,-0.353,0.0315,0.371
03/10/2025 03:55:29 pm,0.900,-0.0915,-0.306,-0.0540,0.324,03/10/2025 04:33:32 pm,0.900,-0.0795,-0.308,-0.0450,0.321,03/10/2025 04:39:12 pm,0.900,-0.108,-0.353,0.0330,0.370
03/10/2025 03:55:30 pm,1.000,-0.0840,-0.311,-0.0540,0.326,03/10/2025 04:33:33 pm,1.000,-0.0750,-0.311,-0.0465,0.323,03/10/2025 04:39:13 pm,1.000,-0.114,-0.357,0.0300,0.376
03/10/2025 03:55:30 pm,1.100,-0.0915,-0.306,-0.0540,0.324,03/10/2025 04:33:33 pm,1.100,-0.0810,-0.315,-0.0435,0.328,03/10/2025 04:39:13 pm,1.100,-0.116,-0.354,0.0315,0.374
03/10/2025 03:55:30 pm,1.200,-0.0885,-0.308,-0.0555,0.325,03/10/2025 04:33:33 pm,1.200,-0.0855,-0.315,-0.0420,0.329,03/10/2025 04:39:13 pm,1.200,-0.114,-0.354,0.0315,0.373
03/10/2025 03:55:30 pm,1.300,-0.0885,-0.309,-0.0555,0.326,03/10/2025 04:33:33 pm,1.300,-0.0765,-0.306,-0.0450,0.319,03/10/2025 04:39:13 pm,1.300,-0.114,-0.356,0.0315,0.375
03/10/2025 03:55:30 pm,1.400,-0.0885,-0.303,-0.0540,0.320,03/10/2025 04:33:33 pm,1.400,-0.0795,-0.312,-0.0450,0.325,03/10/2025 04:39:13 pm,1.400,-0.114,-0.351,0.0345,0.371
03/10/2025 03:55:30 pm,1.500,-0.0870,-0.306,-0.0585,0.323,03/10/2025 04:33:33 pm,1.500,-0.0795,-0.309,-0.0450,0.322,03/10/2025 04:39:13 pm,1.500,-0.116,-0.351,0.0345,0.371
